symbol,timeframe,horizon_hours,horizon_bars,threshold,label_style,n_features,n,neutral_pct,up_pct,down_pct,balance,score,edge,n_folds,n_active_folds,med_accuracy,med_return,med_sharpe,med_win_rate,med_trades,prof_folds,reason
ETC/USD,4h,72,18,0.05,ternary,105,10750,0.645860465116279,0.16911627906976745,0.18502325581395349,0.9550827424436198,10.404810616369597,True,2.0,2.0,0.5922467458970005,0.035511643510859905,0.7348756984295844,0.45833333333333337,12.0,1.0,passes_all
RUNE/USD,2h,12,6,0.005,ternary,105,21691,0.273754091558711,0.35295744778940574,0.37328846065188326,0.9720053323562009,10.350797512817556,True,2.0,1.0,0.3620161514898357,0.04726870899687783,1.3604744830208426,0.6666666666666666,3.0,1.0,passes_all
FIL/USD,2h,12,6,0.018,ternary,105,21700,0.6363594470046083,0.17336405529953916,0.19027649769585253,0.9534913193523302,10.336078446017256,True,2.0,1.0,0.45462138084632514,0.10119030535643032,1.2936508290907536,0.5,14.0,1.0,passes_all
ADA/USD,8h,48,6,0.012,ternary,105,5275,0.3662559241706161,0.29592417061611376,0.33781990521327016,0.9338917141336288,10.316401070724046,False,2.0,1.0,0.3532163742690059,0.0735269569555283,1.5020735853439293,0.6666666666666666,3.0,1.0,acc=0.35<0.36
ETC/USD,1h,24,24,0.025,ternary,105,43600,0.5986697247706422,0.19623853211009173,0.20509174311926606,0.9779403360933707,10.310507454768342,True,2.0,1.0,0.5764982049157691,0.03935648852356935,0.486387512297115,0.38961038961038963,77.0,1.0,passes_all
ETC/USD,2h,12,6,0.018,ternary,105,21700,0.6755760368663595,0.16129032258064516,0.1631336405529954,0.9943181818356953,10.170624493839021,True,2.0,2.0,0.6017538975501113,0.02635699700649457,0.4186292496037125,0.45112781954887216,13.0,1.0,passes_all
RUNE/USD,2h,8,4,0.025,ternary,105,21691,0.7411829791157623,0.1328661656908395,0.1259508551933982,0.9732810831100036,10.156947137381934,True,1.0,1.0,0.48621553884711777,0.11434401826062221,1.1076363604395796,0.4583333333333333,24.0,1.0,passes_all
ETH/USD,4h,24,6,0.025,ternary,105,10750,0.6908837209302325,0.16232558139534883,0.1467906976744186,0.9497442072044087,10.150607726930057,True,2.0,2.0,0.47764572722127896,0.023816449515862315,0.7204204552317524,0.5151515151515151,7.0,2.0,passes_all
ETH/USD,2h,24,12,0.025,ternary,105,21691,0.6662210133234983,0.17435802867548753,0.15942095800101425,0.9552486189186052,10.116571040880906,True,2.0,1.0,0.5098858256752994,0.03599989611414694,0.5769626354830272,0.4594594594594595,37.0,1.0,passes_all
ADA/USD,2h,12,6,0.025,ternary,105,21691,0.7594393988290075,0.12124844405513807,0.11931215711585451,0.9919509390905696,10.089788234149841,True,2.0,2.0,0.5853522695627958,0.1355981915219224,0.8566558863721858,0.4384057971014492,24.5,1.0,passes_all
