symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
AUD/USD,1d,forex,9,1732,6,0,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,3,1725,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,328.0
POL/USD,1h,crypto,9,12738,6,0,2025-09-09→2025-10-03 | 2025-10-03→2025-10-27 | 2025-10-27→2025-11-20 | 2025-11-20→2025-12-14 | 2025-12-14→2026-03-22 | 2026-03-22→2026-04-15,4417,4789,3532,2,0.131,-0.0007,-0.0027,0.0029,-0.762,-0.339,-0.877,-0.0016,0.26,inf,inf,5.0682,-3.4466,5,0.0694,0.25,2,0,insufficient,39.6,1.0,3.0,TOO_FEW_TRADES,2935.9
LINK/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,199,1325,206,1,0.0833,-0.0005,-0.0122,0.0672,-1.22,-0.723,-0.891,-0.0029,0.325,inf,inf,9.8951,-15.0335,1,0.0833,0.0,0,0,insufficient,39.0,0.75,3.0,TOO_FEW_TRADES,355.6
CRV/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1003,2788,1013,3,0.2333,-0.0027,-0.0248,0.0659,-1.828,-1.004,-2.188,-0.0069,0.736,inf,inf,24.8289,-23.8492,4,0.325,0.1667,2,1,insufficient,38.7,0.8438,3.0,- LOSS,51.3
RUNE/USD,1h,crypto,9,17436,6,0,2025-06-25→2025-07-28 | 2025-07-28→2025-08-30 | 2025-08-30→2025-10-03 | 2025-10-03→2025-11-06 | 2025-11-06→2025-12-10 | 2025-12-10→2026-04-15,6441,5219,5776,9,0.1193,-0.0031,-0.0085,0.0117,-1.199,-0.706,-1.365,-0.0037,0.259,inf,inf,6.2354,-4.904,12,0.0873,0.15,6,3,mixed,38.5,1.0,3.0,- LOSS,3709.7
POL/USD,4h,crypto,9,3732,6,1,2025-10-29→2025-11-25 | 2025-11-26→2025-12-23 | 2025-12-23→2026-01-20 | 2026-01-20→2026-02-17 | 2026-02-17→2026-03-17 | 2026-03-17→2026-04-14,738,2392,602,2,0.0833,-0.0014,-0.0171,0.0387,-1.46,-0.45,-3.387,-0.0021,0.25,inf,inf,3.5492,-7.9402,4,0.0,0.0833,1,1,insufficient,38.2,0.875,3.0,TOO_FEW_TRADES,40.8
ATOM/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,191,1343,196,0,0.0,-0.0008,-0.0206,0.0461,-0.761,-0.288,-3.245,-0.0011,0.0,inf,inf,0.0,-7.6342,1,0.0,0.0,0,0,insufficient,35.5,1.0,3.0,TOO_FEW_TRADES,278.3
XMR/USD,1d,crypto,9,1732,6,0,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,319,1014,399,0,0.0,-0.0012,-0.0302,0.0676,-0.729,-0.436,-1.991,-0.0025,0.0,inf,inf,0.0,-5.8424,2,0.0,0.0,0,0,insufficient,35.3,1.0,3.0,TOO_FEW_TRADES,377.0
ETC/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,160,1398,172,0,0.0,-0.0008,-0.0219,0.0491,-0.859,-0.284,-3.39,-0.0011,0.0,inf,inf,0.0,-8.1702,1,0.0,0.0,0,0,insufficient,35.0,1.0,3.0,TOO_FEW_TRADES,343.7
AVAX/USD,4h,crypto,9,4802,6,0,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,951,2929,922,2,0.0476,-0.0009,-0.0095,0.0075,-1.436,-0.409,-3.41,-0.0025,0.154,inf,inf,5.5738,-10.2763,4,0.0278,0.1667,1,0,insufficient,34.6,1.0,3.0,TOO_FEW_TRADES,52.6
