symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
ATOM/USD,1d,crypto,9,960,576,192,192,13,549,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0466,TOO_FEW_TRADES,26.6
ALGO/USD,1h,crypto,9,9272,5563,1854,1855,1857,1988,1718,264,5,45,0.2222,-0.0971,-0.3828,-4.954,-0.1144,0.5634,- LOSS,179.0
ALGO/USD,4h,crypto,9,4561,2736,912,913,420,1859,457,85,0,31,0.3871,0.0259,0.0632,0.643,-0.0618,0.3439,+ MARGINAL,74.0
ALGO/USD,12h,crypto,9,1261,756,252,253,49,650,57,2,0,1,0.0,-0.0264,-0.0743,-5.352,-0.0264,0.1577,TOO_FEW_TRADES,33.4
ALGO/USD,1d,crypto,9,960,576,192,192,16,537,23,1,0,1,0.0,-0.0231,-0.0435,-1.912,-0.0231,0.0708,TOO_FEW_TRADES,21.3
NEAR/USD,1h,crypto,9,9272,5563,1854,1855,1896,1961,1706,270,0,39,0.4103,-0.0008,-0.0036,0.017,-0.0446,0.7608,- LOSS,145.1
NEAR/USD,4h,crypto,9,4561,2736,912,913,462,1769,505,94,12,19,0.2105,-0.0624,-0.1432,-1.185,-0.1099,0.3783,- LOSS,73.9
NEAR/USD,12h,crypto,9,1261,756,252,253,55,639,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1406,TOO_FEW_TRADES,33.4
NEAR/USD,1d,crypto,9,960,576,192,192,21,521,34,1,0,1,0.0,-0.0455,-0.0847,-1.553,-0.0544,0.0991,TOO_FEW_TRADES,24.2
S/USD,1h,crypto,9,6154,3692,1231,1231,1301,1401,990,176,0,32,0.375,-0.0034,-0.0242,0.087,-0.1025,0.7392,- LOSS,97.6
XTZ/USD,1h,crypto,9,9256,5553,1851,1852,1684,2442,1427,262,7,40,0.35,-0.0391,-0.1718,-2.261,-0.0507,0.6603,- LOSS,145.4
XTZ/USD,4h,crypto,9,4561,2736,912,913,335,2076,325,50,3,11,0.2727,-0.0465,-0.1079,-1.055,-0.084,0.3124,- LOSS,74.4
XTZ/USD,12h,crypto,9,1261,756,252,253,46,680,30,2,0,0,0.0,0.0,0.0,0.0,0.0,0.1686,TOO_FEW_TRADES,33.5
XTZ/USD,1d,crypto,9,960,576,192,192,16,548,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0651,TOO_FEW_TRADES,21.1
EOS/USD,1h,crypto,9,8389,5033,1678,1678,1409,2178,1446,0,243,29,0.3793,0.0066,0.0352,0.408,-0.0244,0.8119,+ MARGINAL,139.4
EOS/USD,4h,crypto,9,3080,1848,616,616,195,1418,235,36,16,12,0.1667,-0.1109,-0.3415,-3.501,-0.1172,0.3401,- LOSS,58.3
EOS/USD,12h,crypto,9,1261,756,252,253,25,715,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0868,TOO_FEW_TRADES,30.5
EOS/USD,1d,crypto,9,896,537,179,180,14,515,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0665,TOO_FEW_TRADES,26.1
UNI/USD,1h,crypto,9,9271,5562,1854,1855,1743,2189,1630,270,0,41,0.1463,-0.1254,-0.4689,-7.22,-0.1283,0.7298,- LOSS,147.0
UNI/USD,4h,crypto,9,4561,2736,912,913,424,1890,422,54,9,21,0.2381,-0.0599,-0.1378,-1.153,-0.1063,0.3303,- LOSS,74.7
UNI/USD,12h,crypto,9,1261,756,252,253,54,643,59,5,0,2,0.0,-0.036,-0.1005,-5.206,-0.0434,0.1984,TOO_FEW_TRADES,33.5
UNI/USD,1d,crypto,9,960,576,192,192,21,529,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0606,TOO_FEW_TRADES,21.5
AAVE/USD,1h,crypto,9,9270,5562,1854,1854,1750,2091,1721,125,141,46,0.3261,-0.0535,-0.2289,-2.014,-0.0894,0.5527,- LOSS,147.4
AAVE/USD,4h,crypto,9,4561,2736,912,913,397,1858,481,25,72,32,0.4688,0.1027,0.2642,1.801,-0.0583,0.3951,** STRONG,76.5
AAVE/USD,12h,crypto,9,1261,756,252,253,49,638,69,2,1,0,0.0,0.0,0.0,0.0,0.0,0.1854,TOO_FEW_TRADES,33.8
AAVE/USD,1d,crypto,9,960,576,192,192,14,537,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0881,TOO_FEW_TRADES,21.4
MKR/USD,1h,crypto,9,8494,5096,1699,1699,1653,2214,1229,83,163,47,0.2979,-0.0409,-0.1939,-2.079,-0.0569,0.5778,- LOSS,167.9
MKR/USD,4h,crypto,9,3080,1848,616,616,237,1348,263,71,0,18,0.3333,-0.0384,-0.1301,-1.134,-0.0677,0.3888,- LOSS,73.4
MKR/USD,12h,crypto,9,1261,756,252,253,22,697,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0852,TOO_FEW_TRADES,37.7
MKR/USD,1d,crypto,9,896,537,179,180,9,502,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0911,TOO_FEW_TRADES,32.0
COMP/USD,1h,crypto,9,8835,5301,1767,1767,1717,2081,1503,257,0,35,0.4286,0.0292,0.1534,1.017,-0.0601,0.7223,* GOOD,184.7
COMP/USD,4h,crypto,9,4551,2730,910,911,371,1973,386,100,0,17,0.4118,0.0311,0.0764,0.71,-0.0575,0.398,+ MARGINAL,97.2
COMP/USD,12h,crypto,9,1261,756,252,253,46,665,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1679,TOO_FEW_TRADES,39.6
COMP/USD,1d,crypto,9,960,576,192,192,15,538,23,2,0,1,0.0,-0.0308,-0.0577,-2.034,-0.0348,0.1557,TOO_FEW_TRADES,27.6
SNX/USD,1h,crypto,9,9100,5460,1820,1820,1886,1911,1663,257,8,45,0.3556,-0.0227,-0.1047,-1.245,-0.0573,0.6024,- LOSS,190.3
SNX/USD,4h,crypto,9,4560,2736,912,912,514,1757,465,95,6,19,0.2105,-0.1398,-0.3035,-2.508,-0.154,0.4144,- LOSS,97.7
